grid_id,date,city,female_sum_day,female_sum_night,male_sum_day,male_sum_night,log_female_night,log_male_night,year,month,day,weekday,is_weekend,tavg_night,prcp_night,wspd_night,pres_night,rhum_night,lon,lat,grid_area_m2,Pop_Total,Pop_Female_20_50,Pop_Male_20_50,NDVI,walkability_global_z,walkability_city_z,NTL_mean_grid,gdp_2022,built_density_2020,ssx_choice_r5000,ssx_has_segment,Female_Employment_Rate_15plus_WorldBank,Labour_force_participation_rate_F_Fig4,SDG11_71pct,SDG_3_1_Maternal_mortality_ratio,SDG_3_7_Adolescent_birth_rate,SDG_5_5_Share_of_seats_in_parliament,SDG_4_4_Population_with_at_least_some_secondary_education_F
10023,2023-10-01,Auckland,2,4,1,3,1.3862943611198906,1.0986122886681098,2023,10,1,7,True,16.625,0.0,31.1166666666667,1020.75,71.0833333333333,174.502253616611,-36.9952376053173,39999.9999999593,0.048029565799951,0.0118417596799879,0.014692480559985,0.8561,-0.540213697682578,-0.488554316455835,0.00213213,101266720,0.0003180269550925,972355.0,1,66.922,67.6,16.66,7,10.9,44.3,82.9
10024,2023-10-01,Auckland,0,0,3,2,0.0,0.6931471805599453,2023,10,1,7,True,16.625,0.0,31.1166666666667,1020.75,71.0833333333333,174.502312557245,-36.9934364351564,39999.9999998719,0.0480295657998462,0.011841759679962,0.0146924805599529,0.8561,-0.540213697682578,-0.488554316455835,0.00153159,101266720,0.0007989251330423,962132.927574393,1,66.922,67.6,16.66,7,10.9,44.3,82.9
10025,2023-10-01,Auckland,0,2,3,1,0.6931471805599453,0.0,2023,10,1,7,True,16.625,0.0,31.1166666666667,1020.75,71.0833333333333,174.502371492639,-36.991635264367,40000.0000001164,2.82617462160823,0.696805114802028,0.864543686002516,0.9219,-0.534616278779066,-0.459137925044621,0.00229331,101266720,0.0011305090103209,704794.402279103,1,66.922,67.6,16.66,7,10.9,44.3,82.9
10026,2023-10-01,Auckland,2,1,2,3,1.0986122886681098,1.0986122886681098,2023,10,1,7,True,16.625,0.0,31.1166666666667,1020.75,71.0833333333333,174.502430422795,-36.9898340929492,39999.9999997846,2.82617462158478,0.696805114796248,0.864543685995345,0.9219,-0.534616278779066,-0.459137925044621,0.00338715,101266720,0.00114751636371,664194.530047147,1,66.922,67.6,16.66,7,10.9,44.3,82.9
10027,2023-10-01,Auckland,3,3,0,0,0.6931471805599453,,2023,10,1,7,True,16.625,0.0,31.1166666666667,1020.75,71.0833333333333,174.502489347713,-36.988032920903,40000.0000002969,2.82617462162097,0.696805114805171,0.864543686006416,0.9219,-0.534616278779066,-0.459137925044621,0.0050717,101266720,0.0009522158418847,611528.582737858,1,66.922,67.6,16.66,7,10.9,44.3,82.9
10028,2023-10-01,Auckland,2,2,2,0,0.0,,2023,10,1,7,True,16.625,0.0,31.1166666666667,1020.75,71.0833333333333,174.502548267393,-36.9862317482284,40000.0000001048,2.8261746216074,0.696805114801825,0.864543686002264,0.9219,-0.534616278779066,-0.459137925044621,0.00494634,101266720,0.0007845920240331,704968.226492542,1,66.922,67.6,16.66,7,10.9,44.3,82.9
10038,2023-10-01,Auckland,3,2,1,2,0.6931471805599453,0.6931471805599453,2023,10,1,7,True,16.625,0.0,31.1166666666667,1020.75,71.0833333333333,174.503137176233,-36.9682199869254,39999.9999998196,0.0,0.0,0.0,0.8693,-0.517088264150468,-0.46820567843471,0.00465661,101266720,4.56840125864788e-07,439148.305078417,1,66.922,67.6,16.66,7,10.9,44.3,82.9
10038,2023-10-21,Auckland,8,1,6,3,0.6931471805599453,1.0986122886681098,2023,10,21,6,True,16.7583333333333,0.0,25.3166666666667,1013.71666666667,77.25,174.503137176233,-36.9682199869254,39999.9999998196,0.0,0.0,0.0,0.8693,-0.517088264150468,-0.46820567843471,0.00126271,101266720,4.56840125864788e-07,439148.305078417,1,66.922,67.6,16.66,7,10.9,44.3,82.9
10038,2023-10-28,Auckland,1,4,0,4,1.3862943611198906,1.3862943611198906,2023,10,28,6,True,14.7166666666667,0.0,31.5083333333333,1020.0,61.0,174.503137176233,-36.9682199869254,39999.9999998196,0.0,0.0,0.0,0.8693,-0.517088264150468,-0.46820567843471,0.00424067,101266720,4.56840125864788e-07,439148.305078417,1,66.922,67.6,16.66,7,10.9,44.3,82.9
10056,2023-10-07,Auckland,4,1,3,2,0.0,0.6931471805599453,2023,10,7,6,True,13.8083333333333,5.4,13.3416666666667,1002.40833333333,83.8333333333333,174.504195893934,-36.9357986582921,39999.9999999418,0.443235175599355,0.117347758999829,0.119188902359826,0.8698,-0.539417435678025,-0.484369681502554,0.00728747,101266720,0.0005327375241395,358113.201261046,1,66.922,67.6,16.66,7,10.9,44.3,82.9
